Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 0  , Iteration_time-> 2.1369 , Iteration_loss 0.6595
Iteration-> 1  , Iteration_time-> 1.5252 , Iteration_loss 0.5350
Iteration-> 2  , Iteration_time-> 1.5383 , Iteration_loss 0.4325
Iteration-> 3  , Iteration_time-> 1.4839 , Iteration_loss 0.3500
Iteration-> 4  , Iteration_time-> 1.4978 , Iteration_loss 0.2855
Iteration-> 5  , Iteration_time-> 1.4867 , Iteration_loss 0.2363
Iteration-> 6  , Iteration_time-> 1.5521 , Iteration_loss 0.1998
Iteration-> 7  , Iteration_time-> 1.5049 , Iteration_loss 0.1730
Iteration-> 8  , Iteration_time-> 1.4870 , Iteration_loss 0.1538
Iteration-> 9  , Iteration_time-> 1.5058 , Iteration_loss 0.1403
Iteration-> 10  , Iteration_time-> 1.5107 , Iteration_loss 0.1309
Iteration-> 11  , Iteration_time-> 1.5660 , Iteration_loss 0.1246
Iteration-> 12  , Iteration_time-> 1.5140 , Iteration_loss 0.1205
Iteration-> 13  , Iteration_time-> 1.4818 , Iteration_loss 0.1179
Iteration-> 14  , Iteration_time-> 1.4833 , Iteration_loss 0.1165
Iteration-> 15  , Iteration_time-> 1.5358 , Iteration_loss 0.1159
Iteration-> 16  , Iteration_time-> 1.4979 , Iteration_loss 0.1159
Iteration-> 17  , Iteration_time-> 1.4795 , Iteration_loss 0.1162
Iteration-> 18  , Iteration_time-> 1.4763 , Iteration_loss 0.1166
Iteration-> 19  , Iteration_time-> 1.5017 , Iteration_loss 0.1174
Iteration-> 20  , Iteration_time-> 1.4981 , Iteration_loss 0.1181
Iteration-> 21  , Iteration_time-> 1.4936 , Iteration_loss 0.1188
Iteration-> 22  , Iteration_time-> 1.4947 , Iteration_loss 0.1195
Iteration-> 23  , Iteration_time-> 1.4506 , Iteration_loss 0.1202
Iteration-> 24  , Iteration_time-> 1.5274 , Iteration_loss 0.1208
Iteration-> 25  , Iteration_time-> 1.5491 , Iteration_loss 0.1213
Iteration-> 26  , Iteration_time-> 1.4716 , Iteration_loss 0.1218
Iteration-> 27  , Iteration_time-> 1.5123 , Iteration_loss 0.1222
Iteration-> 28  , Iteration_time-> 1.5227 , Iteration_loss 0.1225
Iteration-> 29  , Iteration_time-> 1.4882 , Iteration_loss 0.1226
Iteration-> 30  , Iteration_time-> 1.4889 , Iteration_loss 0.1229
Iteration-> 31  , Iteration_time-> 1.4900 , Iteration_loss 0.1228
Iteration-> 32  , Iteration_time-> 1.5704 , Iteration_loss 0.1230
Iteration-> 33  , Iteration_time-> 1.4920 , Iteration_loss 0.1228
